,freq,sum_rate,popular,unpopular
209,191,746,1,0
274,190,665,1,0
340,189,678,1,0
307,188,661,1,0
124,187,758,1,0
147,185,642,1,0
13,184,629,1,0
14,183,726,1,0
23,182,750,1,0
203,182,704,1,0
751,180,617,1,0
514,180,704,1,0
732,180,657,1,0
566,179,639,1,0
480,179,767,1,0
479,179,761,1,0
591,178,641,1,0
419,178,663,1,0
283,177,658,1,0
83,176,715,1,0
845,176,610,1,0
327,175,591,1,0
326,175,588,1,0
58,175,638,1,0
154,174,652,1,0
432,174,656,1,0
24,174,600,1,0
511,173,732,1,0
99,172,638,1,0
255,172,578,1,0
651,171,697,1,0
229,171,532,1,0
137,171,667,1,0
133,171,662,1,0
433,171,631,1,0
218,171,591,1,0
402,170,589,1,0
188,170,626,1,0
451,170,569,1,0
367,170,588,1,0
684,169,641,1,0
628,169,594,1,0
321,169,529,1,0
582,168,605,1,0
319,168,550,1,0
226,166,557,1,0
199,165,689,1,0
739,164,545,1,0
692,164,595,1,0
523,164,655,1,0
411,163,475,1,0
259,162,435,1,0
66,162,575,1,0
285,162,691,1,0
443,162,617,1,0
410,162,507,1,0
227,161,528,1,0
476,160,483,1,0
315,160,656,1,0
248,160,588,1,0
472,158,487,1,0
252,158,465,1,0
685,157,527,1,0
193,157,615,1,0
150,157,601,1,0
240,156,435,1,0
690,155,536,1,0
31,154,559,1,0
431,153,541,1,0
660,153,576,1,0
498,152,636,1,0
550,151,496,1,0
164,151,542,1,0
77,151,495,1,0
239,150,527,1,0
86,150,591,1,0
304,149,527,1,0
55,149,552,1,0
763,149,505,1,0
1028,148,450,1,0
42,148,563,1,0
462,148,563,1,0
156,148,590,1,0
293,147,559,1,0
654,147,608,1,0
281,146,459,1,0
310,145,522,1,0
455,145,472,1,0
332,143,495,1,0
91,143,513,1,0
358,143,374,1,0
231,142,381,1,0
87,138,539,1,0
484,138,581,1,0
705,137,547,1,0
1016,137,474,1,0
559,137,436,1,0
94,137,423,1,0
177,137,529,1,0
347,137,481,1,0
735,137,528,1,0
205,136,543,1,0
270,136,489,1,0
223,136,571,1,0
879,136,445,1,0
68,134,458,1,0
213,134,534,1,0
1047,134,380,1,0
303,134,494,1,0
47,133,479,1,0
243,132,322,1,0
2,131,420,1,0
657,131,558,1,0
109,130,446,1,0
249,130,422,1,0
418,129,462,1,0
531,129,506,1,0
129,129,493,1,0
72,129,412,1,0
482,128,510,1,0
53,128,378,1,0
241,128,454,1,0
148,128,410,1,0
756,128,371,1,0
325,128,326,1,0
73,128,444,1,0
260,127,327,1,0
596,127,429,1,0
62,127,399,1,0
291,127,428,1,0
157,127,469,1,0
198,127,509,1,0
473,126,394,1,0
346,126,459,1,0
485,125,477,1,0
178,125,543,1,0
324,125,392,1,0
116,125,478,1,0
750,124,478,1,0
233,124,408,1,0
520,124,509,1,0
190,124,513,1,0
526,124,475,1,0
343,124,384,1,0
246,124,488,1,0
501,123,430,1,0
504,122,466,1,0
528,121,500,1,0
509,121,466,1,0
447,121,424,1,0
428,121,462,1,0
170,121,505,1,0
510,121,477,1,0
521,120,460,1,0
217,120,379,1,0
38,120,361,1,0
631,119,431,1,0
746,119,436,1,0
866,119,395,1,0
169,118,527,1,0
449,117,355,1,0
242,117,467,1,0
48,117,479,1,0
663,116,453,1,0
192,116,478,1,0
184,116,398,1,0
380,116,387,1,0
659,115,469,1,0
762,115,390,1,0
65,115,407,1,0
123,115,372,1,0
214,114,382,1,0
29,114,304,1,0
292,114,418,1,0
331,113,400,1,0
93,112,417,1,0
815,112,362,1,0
408,112,503,1,0
316,112,470,1,0
219,111,352,1,0
382,111,399,1,0
81,110,391,1,0
225,109,317,1,0
470,108,396,1,0
679,107,326,1,0
162,106,377,1,0
421,106,381,1,0
122,106,248,1,0
895,106,341,1,0
136,105,433,1,0
478,104,428,1,0
92,104,376,1,0
54,104,337,1,0
709,104,419,1,0
928,104,324,1,0
67,103,314,1,0
554,102,286,1,0
699,102,375,1,0
317,102,399,1,0
747,102,353,1,0
378,101,376,1,0
926,101,273,1,0
404,101,371,1,0
232,101,324,1,0
159,101,326,1,0
708,101,351,1,0
264,101,277,1,0
682,100,306,1,0
1012,100,353,1,0
381,100,355,1,0
665,100,283,1,0
436,99,350,1,0
155,98,304,1,0
1014,98,300,1,0
507,98,374,1,0
33,97,335,1,0
429,97,382,1,0
126,97,369,1,0
356,97,328,1,0
306,96,379,1,0
755,96,318,1,0
290,96,299,1,0
919,96,364,1,0
90,95,290,1,0
131,95,354,1,0
477,95,305,1,0
412,93,223,1,0
529,93,370,1,0
820,93,258,1,0
576,93,281,1,0
1011,93,300,1,0
430,93,372,1,0
163,92,327,1,0
578,92,290,1,0
744,92,318,1,0
549,92,328,1,0
17,92,287,1,0
212,92,318,1,0
636,91,295,1,0
517,91,343,1,0
831,91,224,1,0
338,91,242,1,0
693,91,332,1,0
52,91,343,1,0
506,90,347,1,0
652,90,350,1,0
3,90,273,1,0
458,90,281,1,0
1039,90,361,1,0
201,89,313,1,0
642,89,310,1,0
518,89,325,1,0
10,89,341,1,0
399,89,294,1,0
661,88,361,1,0
39,87,284,1,0
715,87,285,1,0
689,87,274,1,0
386,87,245,1,0
305,87,317,1,0
720,86,260,1,0
673,86,303,1,0
864,86,272,1,0
5,86,284,1,0
988,86,199,1,0
792,86,320,1,0
924,85,289,1,0
425,85,318,1,0
448,85,288,1,0
280,85,271,1,0
465,85,303,1,0
781,84,280,1,0
21,84,232,1,0
59,83,337,1,0
825,83,252,1,0
152,82,298,1,0
717,82,231,1,0
63,82,254,1,0
662,82,281,1,0
640,82,248,1,0
823,82,236,1,0
625,82,273,1,0
604,81,325,1,0
420,81,297,1,0
32,81,307,1,0
49,81,269,1,0
51,81,280,1,0
873,81,240,1,0
729,81,282,1,0
930,80,216,1,0
826,80,206,1,0
312,80,253,1,0
530,80,322,1,0
519,80,328,1,0
45,80,324,1,0
44,79,264,1,0
710,79,282,1,0
658,79,270,1,0
584,79,280,1,0
696,79,248,1,0
736,78,307,1,0
287,78,280,1,0
676,77,257,1,0
629,77,257,1,0
295,77,262,1,0
1074,77,228,1,0
724,76,265,1,0
778,76,270,1,0
401,76,213,1,0
627,75,242,1,0
311,75,276,1,0
969,75,285,1,0
871,75,180,1,0
105,74,190,1,0
221,74,276,1,0
461,74,268,1,0
1101,74,279,1,0
299,73,214,1,0
525,73,294,1,0
1048,73,220,1,0
101,73,238,1,0
26,73,252,1,0
417,73,226,1,0
513,72,312,1,0
650,72,255,1,0
713,72,260,1,0
20,72,246,1,0
141,72,252,1,0
354,72,251,1,0
544,71,224,1,0
949,71,237,1,0
463,71,274,1,0
106,71,205,1,0
277,71,246,1,0
558,70,257,1,0
707,70,275,1,0
647,70,287,1,0
409,70,220,1,0
780,69,207,1,0
687,69,151,1,0
384,69,192,1,0
633,69,280,1,0
19,69,273,1,0
160,69,239,1,0
934,68,199,1,0
1035,68,215,1,0
505,68,272,1,0
80,68,188,1,0
392,68,241,1,0
497,68,261,1,0
487,68,279,1,0
569,67,181,1,0
491,67,254,1,0
167,67,198,1,0
371,67,212,1,0
469,67,253,1,0
120,67,150,1,0
434,67,257,1,0
114,67,298,1,0
648,67,270,1,0
220,66,222,1,0
993,66,232,1,0
207,66,252,1,0
607,66,262,1,0
189,66,271,1,0
1073,66,252,1,0
855,66,246,1,0
452,66,176,1,0
262,66,245,1,0
538,66,226,1,0
606,66,267,1,0
790,66,192,1,0
171,65,252,1,0
672,65,177,1,0
108,65,200,1,0
387,65,220,1,0
128,65,230,1,0
488,65,273,1,0
345,65,221,1,0
145,65,159,1,0
616,64,219,0,1
486,64,243,0,1
595,64,198,0,1
1009,64,216,0,1
60,64,257,0,1
416,64,223,0,1
468,64,212,0,1
619,64,203,0,1
334,64,215,0,1
887,64,231,0,1
165,64,263,0,1
959,64,222,0,1
553,63,207,0,1
481,63,248,0,1
516,63,250,0,1
450,63,151,0,1
740,63,219,0,1
727,63,218,0,1
414,62,219,0,1
1041,62,198,0,1
254,62,152,0,1
499,62,245,0,1
140,61,196,0,1
946,61,192,0,1
609,60,215,0,1
278,60,194,0,1
939,60,216,0,1
158,60,157,0,1
493,60,249,0,1
737,59,176,0,1
1119,59,216,0,1
495,59,216,0,1
61,59,228,0,1
880,59,187,0,1
391,59,162,0,1
615,59,239,0,1
492,59,228,0,1
561,59,181,0,1
581,59,190,0,1
741,58,200,0,1
632,58,226,0,1
166,58,239,0,1
722,58,170,0,1
898,58,187,0,1
716,58,183,0,1
85,58,176,0,1
923,58,241,0,1
40,57,165,0,1
770,57,193,0,1
27,57,177,0,1
512,57,228,0,1
142,57,175,0,1
827,57,158,0,1
754,57,193,0,1
502,57,211,0,1
931,57,123,0,1
813,56,218,0,1
395,56,145,0,1
494,56,224,0,1
847,55,205,0,1
413,55,145,0,1
369,55,145,0,1
344,55,201,0,1
721,54,186,0,1
675,54,192,0,1
102,54,169,0,1
535,54,171,0,1
76,54,184,0,1
396,54,152,0,1
840,53,141,0,1
702,53,160,0,1
1065,53,185,0,1
886,53,163,0,1
892,53,146,0,1
441,53,136,0,1
875,53,145,0,1
849,53,144,0,1
489,52,214,0,1
466,52,187,0,1
768,52,160,0,1
342,52,152,0,1
877,52,132,0,1
542,51,129,0,1
614,51,191,0,1
712,51,157,0,1
749,51,162,0,1
602,50,185,0,1
490,50,201,0,1
570,50,155,0,1
139,50,139,0,1
297,50,198,0,1
1017,50,162,0,1
686,50,184,0,1
206,50,169,0,1
649,50,170,0,1
806,50,173,0,1
541,49,141,0,1
977,49,132,0,1
824,49,135,0,1
772,49,150,0,1
833,49,157,0,1
406,49,120,0,1
955,49,167,0,1
683,49,118,0,1
1228,48,118,0,1
841,48,132,0,1
467,48,182,0,1
365,48,154,0,1
456,48,111,0,1
674,48,139,0,1
244,48,152,0,1
948,48,104,0,1
562,48,154,0,1
789,47,168,0,1
876,47,127,0,1
363,47,128,0,1
1007,47,194,0,1
366,47,157,0,1
1118,47,153,0,1
339,47,153,0,1
921,46,183,0,1
444,46,125,0,1
794,46,168,0,1
664,46,163,0,1
1135,46,137,0,1
941,46,141,0,1
524,46,185,0,1
956,46,166,0,1
251,46,196,0,1
671,46,166,0,1
760,46,122,0,1
1046,46,146,0,1
810,45,130,0,1
942,45,157,0,1
952,45,143,0,1
1079,45,101,0,1
236,45,163,0,1
329,45,150,0,1
881,45,132,0,1
1197,45,160,0,1
728,45,136,0,1
552,45,129,0,1
656,44,176,0,1
761,44,134,0,1
1067,44,152,0,1
1142,44,178,0,1
688,44,81,0,1
1025,44,129,0,1
638,44,166,0,1
575,44,112,0,1
1010,44,143,0,1
846,44,135,0,1
975,44,139,0,1
984,44,126,0,1
1188,44,122,0,1
896,44,166,0,1
224,44,163,0,1
694,44,178,0,1
539,44,109,0,1
261,43,110,0,1
407,43,108,0,1
589,43,173,0,1
1050,43,157,0,1
944,43,129,0,1
540,43,108,0,1
620,43,133,0,1
379,43,128,0,1
809,43,125,0,1
890,43,84,0,1
336,43,113,0,1
1091,43,117,0,1
769,42,103,0,1
1098,42,155,0,1
902,42,161,0,1
900,42,155,0,1
107,42,147,0,1
844,42,141,0,1
872,42,130,0,1
963,41,176,0,1
547,41,137,0,1
350,41,129,0,1
577,41,91,0,1
1110,41,117,0,1
1063,41,150,0,1
1051,41,133,0,1
355,41,120,0,1
330,41,124,0,1
771,41,108,0,1
610,41,150,0,1
819,40,108,0,1
1044,40,129,0,1
639,40,148,0,1
802,40,108,0,1
929,40,108,0,1
945,40,157,0,1
697,40,137,0,1
943,40,139,0,1
43,40,120,0,1
611,40,164,0,1
932,40,117,0,1
57,40,160,0,1
16,39,125,0,1
1221,39,136,0,1
1060,39,119,0,1
585,39,97,0,1
874,39,127,0,1
785,39,123,0,1
752,39,129,0,1
731,39,123,0,1
503,39,142,0,1
951,39,110,0,1
370,39,110,0,1
622,39,131,0,1
373,39,113,0,1
1217,39,112,0,1
743,39,76,0,1
623,39,114,0,1
1013,38,87,0,1
637,38,115,0,1
1089,38,81,0,1
646,38,147,0,1
1210,38,104,0,1
1134,38,126,0,1
1021,38,145,0,1
583,37,111,0,1
364,37,99,0,1
30,37,146,0,1
783,37,101,0,1
1090,37,89,0,1
1008,37,125,0,1
937,37,126,0,1
41,37,114,0,1
856,36,138,0,1
796,36,111,0,1
670,36,108,0,1
1244,36,105,0,1
1059,35,97,0,1
1020,35,136,0,1
644,35,132,0,1
979,35,112,0,1
522,35,132,0,1
266,35,95,0,1
567,35,98,0,1
653,34,133,0,1
680,34,87,0,1
882,34,112,0,1
922,34,130,0,1
372,34,120,0,1
723,34,107,0,1
961,34,123,0,1
612,34,134,0,1
971,34,125,0,1
829,34,90,0,1
925,34,113,0,1
586,34,91,0,1
573,33,97,0,1
990,33,102,0,1
1139,33,86,0,1
1267,33,99,0,1
78,33,81,0,1
641,33,139,0,1
878,33,83,0,1
974,32,97,0,1
765,32,90,0,1
426,32,91,0,1
580,32,108,0,1
1018,32,102,0,1
940,32,75,0,1
1226,32,108,0,1
1022,32,110,0,1
1132,32,84,0,1
774,32,94,0,1
1126,32,107,0,1
936,32,126,0,1
1033,32,89,0,1
989,32,91,0,1
779,31,79,0,1
738,31,88,0,1
605,31,104,0,1
797,31,96,0,1
808,31,88,0,1
383,31,64,0,1
995,31,98,0,1
368,31,59,0,1
500,31,121,0,1
1023,31,80,0,1
1019,31,123,0,1
110,31,78,0,1
349,31,90,0,1
630,31,102,0,1
1194,31,126,0,1
1215,30,58,0,1
843,30,90,0,1
1133,30,89,0,1
950,30,87,0,1
1220,30,100,0,1
537,30,109,0,1
308,30,89,0,1
608,30,118,0,1
1115,29,99,0,1
764,29,80,0,1
563,29,70,0,1
1061,29,85,0,1
1136,29,101,0,1
1095,29,76,0,1
719,29,70,0,1
572,29,80,0,1
1137,29,115,0,1
309,28,80,0,1
1129,28,100,0,1
362,28,79,0,1
279,28,92,0,1
460,28,84,0,1
388,28,67,0,1
1042,28,88,0,1
1109,28,96,0,1
1152,28,96,0,1
571,28,70,0,1
972,28,89,0,1
1411,28,72,0,1
464,27,97,0,1
681,27,66,0,1
457,27,47,0,1
389,27,93,0,1
842,27,85,0,1
1170,27,83,0,1
1034,27,68,0,1
978,27,68,0,1
613,27,109,0,1
805,27,98,0,1
46,27,96,0,1
905,27,87,0,1
734,27,68,0,1
1070,27,101,0,1
348,27,89,0,1
645,27,103,0,1
564,27,55,0,1
966,26,109,0,1
352,26,55,0,1
1149,26,100,0,1
1218,26,90,0,1
775,26,72,0,1
1160,26,94,0,1
422,26,74,0,1
1240,26,95,0,1
1284,26,74,0,1
398,26,54,0,1
836,26,98,0,1
6,26,93,0,1
253,26,96,0,1
800,26,75,0,1
834,25,55,0,1
415,25,71,0,1
960,25,81,0,1
938,25,72,0,1
1049,25,63,0,1
1045,25,81,0,1
837,25,98,0,1
818,25,69,0,1
1052,25,57,0,1
1163,25,67,0,1
991,25,56,0,1
1157,25,72,0,1
1040,25,65,0,1
1222,25,67,0,1
753,24,89,0,1
869,24,72,0,1
1053,24,83,0,1
1037,24,48,0,1
634,24,90,0,1
704,24,73,0,1
459,24,90,0,1
551,24,58,0,1
863,24,94,0,1
376,24,68,0,1
1036,24,66,0,1
730,24,84,0,1
986,23,59,0,1
962,23,72,0,1
1315,23,72,0,1
375,23,45,0,1
1093,23,71,0,1
149,23,69,0,1
1054,23,53,0,1
130,23,52,0,1
1199,23,66,0,1
635,23,63,0,1
1006,23,65,0,1
1258,23,58,0,1
1168,22,73,0,1
565,22,59,0,1
1176,22,74,0,1
985,22,63,0,1
532,22,73,0,1
1231,22,55,0,1
445,22,77,0,1
1113,22,72,0,1
560,22,60,0,1
1057,22,51,0,1
821,22,67,0,1
1005,22,81,0,1
980,22,70,0,1
953,22,73,0,1
624,22,72,0,1
1078,22,61,0,1
832,22,56,0,1
816,21,51,0,1
1084,21,81,0,1
1203,21,85,0,1
1121,21,79,0,1
933,21,51,0,1
543,21,76,0,1
1147,21,77,0,1
865,21,73,0,1
906,21,67,0,1
335,21,58,0,1
795,21,51,0,1
758,21,36,0,1
1086,21,69,0,1
965,21,77,0,1
1030,20,45,0,1
982,20,56,0,1
351,20,54,0,1
1296,20,65,0,1
320,20,81,0,1
1219,20,58,0,1
601,20,80,0,1
1407,20,45,0,1
112,20,49,0,1
904,20,69,0,1
1208,20,57,0,1
908,20,50,0,1
1153,19,66,0,1
1117,19,59,0,1
579,19,50,0,1
703,19,68,0,1
1283,19,51,0,1
263,19,41,0,1
894,19,36,0,1
1206,19,51,0,1
1444,19,47,0,1
1178,19,47,0,1
424,19,25,0,1
1245,19,61,0,1
138,19,49,0,1
1277,19,65,0,1
1248,19,57,0,1
1183,19,42,0,1
1265,19,58,0,1
1103,19,72,0,1
590,18,36,0,1
1303,18,42,0,1
862,18,38,0,1
1478,18,49,0,1
811,18,71,0,1
400,18,49,0,1
84,18,54,0,1
968,18,67,0,1
1185,18,41,0,1
1105,18,51,0,1
337,18,54,0,1
1069,18,57,0,1
1230,18,33,0,1
359,18,63,0,1
903,18,56,0,1
1204,18,65,0,1
618,18,65,0,1
812,18,56,0,1
1097,18,63,0,1
1401,18,58,0,1
1239,18,44,0,1
916,18,57,0,1
617,18,68,0,1
1107,18,55,0,1
947,17,55,0,1
1001,17,34,0,1
557,17,53,0,1
773,17,50,0,1
1038,17,48,0,1
1286,17,63,0,1
1140,17,39,0,1
1232,17,42,0,1
1207,17,39,0,1
1120,17,51,0,1
691,16,56,0,1
854,16,54,0,1
1311,16,40,0,1
256,16,57,0,1
718,16,59,0,1
745,16,62,0,1
1066,16,48,0,1
1278,16,58,0,1
454,16,46,0,1
1419,16,34,0,1
997,16,34,0,1
1280,16,43,0,1
998,16,41,0,1
801,16,45,0,1
725,16,44,0,1
453,16,31,0,1
1032,16,46,0,1
1071,16,46,0,1
860,16,36,0,1
1209,15,38,0,1
1172,15,55,0,1
733,15,48,0,1
835,15,58,0,1
1451,15,58,0,1
1024,15,54,0,1
888,15,52,0,1
1273,15,41,0,1
1446,15,47,0,1
115,15,56,0,1
1143,15,60,0,1
1263,15,44,0,1
1285,15,47,0,1
103,15,28,0,1
1112,15,42,0,1
700,15,39,0,1
574,15,33,0,1
1058,15,49,0,1
1291,15,33,0,1
983,15,36,0,1
533,15,55,0,1
859,15,40,0,1
1171,14,44,0,1
1029,14,28,0,1
996,14,35,0,1
1165,14,26,0,1
440,14,23,0,1
1313,14,44,0,1
726,14,34,0,1
1225,14,37,0,1
853,14,54,0,1
786,14,37,0,1
587,14,50,0,1
353,14,34,0,1
893,14,34,0,1
958,14,53,0,1
1116,13,47,0,1
1404,13,42,0,1
1182,13,30,0,1
1161,13,38,0,1
909,13,49,0,1
36,13,28,0,1
883,13,42,0,1
1128,13,35,0,1
828,13,35,0,1
695,13,38,0,1
377,13,28,0,1
1099,13,45,0,1
915,13,51,0,1
1088,13,29,0,1
889,13,44,0,1
534,13,43,0,1
1192,13,44,0,1
787,13,42,0,1
714,13,42,0,1
1187,13,42,0,1
1229,13,28,0,1
669,13,21,0,1
1131,13,52,0,1
885,13,29,0,1
1281,13,41,0,1
1469,12,38,0,1
548,12,26,0,1
1428,12,44,0,1
1211,12,41,0,1
1249,12,34,0,1
593,12,38,0,1
1092,12,30,0,1
545,12,22,0,1
1518,12,36,0,1
1094,12,29,0,1
1124,12,46,0,1
397,12,31,0,1
901,12,23,0,1
976,12,22,0,1
1015,12,34,0,1
667,12,26,0,1
1224,12,32,0,1
1068,12,38,0,1
1266,12,38,0,1
1297,12,34,0,1
1166,12,38,0,1
1154,12,40,0,1
556,12,30,0,1
1076,12,27,0,1
1483,12,41,0,1
1062,12,45,0,1
394,12,40,0,1
967,12,38,0,1
374,11,25,0,1
341,11,34,0,1
1274,11,19,0,1
914,11,30,0,1
1190,11,37,0,1
1421,11,35,0,1
759,11,24,0,1
1127,11,32,0,1
1085,11,33,0,1
767,11,24,0,1
1254,11,20,0,1
1335,11,29,0,1
1195,11,36,0,1
1480,11,25,0,1
1167,11,39,0,1
35,11,24,0,1
1159,11,39,0,1
954,11,39,0,1
621,11,32,0,1
1314,11,27,0,1
18,10,28,0,1
1503,10,31,0,1
361,10,35,0,1
1184,10,25,0,1
1193,10,38,0,1
1268,10,33,0,1
1269,10,39,0,1
1180,10,25,0,1
1114,10,33,0,1
390,10,32,0,1
698,10,30,0,1
1087,10,17,0,1
793,10,35,0,1
999,10,28,0,1
555,10,20,0,1
1181,10,25,0,1
1540,10,28,0,1
1615,10,30,0,1
1434,10,25,0,1
1425,10,26,0,1
1169,10,41,0,1
791,10,25,0,1
1055,10,32,0,1
1000,10,30,0,1
1336,10,18,0,1
701,10,40,0,1
1056,10,32,0,1
360,10,32,0,1
1375,10,36,0,1
536,10,33,0,1
1400,10,31,0,1
782,10,26,0,1
146,10,25,0,1
1179,9,19,0,1
1145,9,24,0,1
1300,9,21,0,1
870,9,25,0,1
776,9,29,0,1
1473,9,32,0,1
899,9,31,0,1
1415,9,22,0,1
1393,9,19,0,1
848,9,32,0,1
964,9,30,0,1
1337,9,21,0,1
446,9,22,0,1
1004,9,28,0,1
1471,9,22,0,1
1150,9,28,0,1
1148,9,30,0,1
1282,9,29,0,1
1437,9,18,0,1
1141,9,30,0,1
798,9,20,0,1
1279,9,26,0,1
1298,9,33,0,1
1620,9,29,0,1
803,9,23,0,1
267,9,31,0,1
1252,9,27,0,1
807,9,25,0,1
766,9,28,0,1
592,9,30,0,1
1214,9,18,0,1
912,9,27,0,1
113,9,37,0,1
1043,8,24,0,1
981,8,14,0,1
1439,8,24,0,1
1251,8,33,0,1
1524,8,34,0,1
804,8,23,0,1
1255,8,18,0,1
1426,8,26,0,1
1082,8,21,0,1
1449,8,37,0,1
1479,8,22,0,1
1227,8,19,0,1
1238,8,25,0,1
1174,8,26,0,1
970,8,26,0,1
1381,8,26,0,1
1100,8,21,0,1
1234,8,19,0,1
1081,8,22,0,1
1202,8,28,0,1
37,8,18,0,1
1276,8,20,0,1
1077,8,25,0,1
1413,8,22,0,1
1003,8,18,0,1
1299,8,24,0,1
1475,8,23,0,1
918,8,24,0,1
1262,8,29,0,1
1002,8,15,0,1
1294,7,22,0,1
1177,7,13,0,1
1271,7,19,0,1
1295,7,18,0,1
994,7,16,0,1
1394,7,17,0,1
1379,7,20,0,1
1102,7,17,0,1
1522,7,17,0,1
1072,7,17,0,1
1031,7,16,0,1
917,7,24,0,1
1111,7,24,0,1
1399,7,17,0,1
1173,7,18,0,1
1151,7,15,0,1
1514,7,22,0,1
1435,7,18,0,1
1316,7,19,0,1
34,7,19,0,1
884,7,23,0,1
1558,7,25,0,1
1376,7,15,0,1
1243,7,26,0,1
74,7,21,0,1
1289,7,15,0,1
1288,7,21,0,1
1527,7,17,0,1
1305,7,17,0,1
1456,7,26,0,1
1459,7,25,0,1
1531,7,23,0,1
1200,7,23,0,1
1441,7,18,0,1
1253,7,17,0,1
1246,7,11,0,1
1264,7,23,0,1
1270,7,16,0,1
935,7,23,0,1
1198,7,22,0,1
1409,7,20,0,1
1075,7,24,0,1
1312,7,21,0,1
1462,7,26,0,1
1205,6,18,0,1
1388,6,20,0,1
1534,6,13,0,1
438,6,7,0,1
1474,6,17,0,1
1233,6,21,0,1
1380,6,14,0,1
706,6,16,0,1
1454,6,18,0,1
1598,6,15,0,1
1326,6,20,0,1
1355,6,16,0,1
1468,6,20,0,1
1412,6,10,0,1
891,6,16,0,1
668,6,13,0,1
1512,6,24,0,1
296,6,20,0,1
1237,6,21,0,1
1591,6,19,0,1
1395,6,14,0,1
1287,6,8,0,1
1405,6,20,0,1
1386,6,16,0,1
1383,6,12,0,1
1322,6,14,0,1
1212,6,17,0,1
1213,6,13,0,1
1083,6,15,0,1
1328,6,19,0,1
1368,6,22,0,1
1466,6,24,0,1
1241,6,16,0,1
1250,6,9,0,1
927,6,19,0,1
1164,6,13,0,1
867,6,24,0,1
1247,6,11,0,1
1216,6,18,0,1
437,5,5,0,1
1301,5,19,0,1
104,5,7,0,1
1162,5,8,0,1
1324,5,12,0,1
799,5,16,0,1
1346,5,12,0,1
1108,5,12,0,1
920,5,11,0,1
868,5,19,0,1
1138,5,17,0,1
1272,5,9,0,1
1501,5,15,0,1
1487,5,10,0,1
1406,5,17,0,1
1333,5,14,0,1
1470,5,13,0,1
439,5,5,0,1
1517,5,14,0,1
1555,5,13,0,1
1392,5,10,0,1
1344,5,16,0,1
1509,5,8,0,1
1416,5,12,0,1
1378,5,11,0,1
314,5,5,0,1
1592,5,18,0,1
1397,5,16,0,1
1495,5,18,0,1
1529,5,14,0,1
247,5,9,0,1
1431,5,17,0,1
1597,5,15,0,1
1242,5,13,0,1
666,5,12,0,1
1385,5,14,0,1
1427,5,14,0,1
1530,5,10,0,1
1367,5,21,0,1
1302,5,17,0,1
1496,5,14,0,1
594,5,12,0,1
1175,5,17,0,1
1511,5,16,0,1
1438,5,12,0,1
1353,5,13,0,1
75,5,15,0,1
1440,5,15,0,1
1396,5,21,0,1
1442,5,12,0,1
1489,5,11,0,1
1488,4,12,0,1
910,4,8,0,1
1064,4,17,0,1
